arxiv,version,relative_dir,filename,mandatory_for_dy_tmdpdf,present,sha256
2006.05329,v2,2006.05329v2,TMDPDF.m,True,False,
2006.05329,v2,2006.05329v2,PTBF.m,False,False,
2006.05329,v2,2006.05329v2,PTBF_ZExpansion.m,False,False,
2006.05329,v2,2006.05329v2,PTBF_ZbExpansion.m,False,False,
2006.05329,v2,2006.05329v2,PT_SoftFunction.m,False,False,
2006.05329,v2,2006.05329v2,PT_SoftFunction_Renormalized.m,False,False,
2006.05329,v2,2006.05329v2,info.txt,False,False,
2012.03256,v2,2012.03256v2,BeamFunction.m,True,False,
2012.03256,v2,2012.03256v2,BeamfunctionN.m,False,False,
2012.03256,v2,2012.03256v2,TMDPDF.m,True,False,
2012.03256,v2,2012.03256v2,TMDPDFN.m,False,False,
2012.03256,v2,2012.03256v2,TMDFF.m,False,False,
2012.03256,v2,2012.03256v2,TMDFFN.m,False,False,
2012.03256,v2,2012.03256v2,FFMatchingKernels.m,False,False,
2012.03256,v2,2012.03256v2,FFMatchingKernelsN.m,False,False,
2012.03256,v2,2012.03256v2,ancillary_readme.pdf,False,False,
2012.03256,v2,2012.03256v2,softfunction.m,False,False,
